year,esc_est,esc_weir,esc_mr,lwr_bnd,upp_bnd,harv_est,harv_rep,harv_creel,exp_rate,return,mr_error
2001,12117,12117,11870,11441,12335,1706,1325,1706,0.1234174925848224,13823,2.038458364281588
2002,17684,17684,17307,15694,19411,4065,4065,3159,0.18690514506414088,21749,2.1318706175073516
2003,22799,22799,23666,21604,26303,2475,2475,2090,0.097926723,25274,3.802798368349489
2004,17369,17369,26700,24300,29500,3196,3196,2891,0.15540967663505956,20565,53.72214865565087
2005,13975,13975,16000,13000,22000,2431,2431,2151,0.14817749603803487,16406,14.490161001788909
2006,17695,17695,11045,10139,12185,2137,1885,2137,0.1077551432029044,19832,37.445606103419045
2007,9194,9194,,,,3011,2190,3011,0.24670217124129454,12205,8.907983467
2008,4213,4213,,,,3013,2876,3013,0.41696650982562966,7226,3.465464039876572
2009,14841,14841,,,,6047,5788,6047,0.2894963615472999,20888,3.571187925341958
2010,13094,13094,12347,10445,14595,5807,4692,5807,0.3072324215649966,18901,5.704903009011761
2011,11772,11772,10721,9434,12010,5074,4573,5074,0.3011990977086549,16846,8.927964661909616
2012,8449,8449,7824,6269,9764,3703,2875,3703,0.30472350230414746,12152,7.397325127233992
2013,6896,6896,5067,4118,6235,4550,3504,4550,0.3975187838546217,11446,26.522621809744777
2014,10400,3175,10400,7666,14111,4728,3240,4728,0.31253305129561076,15128,227.55905511811022
2015,3304,2449,3304,2651,4118,1344,1182,1344,0.2891566265060241,4648,34.91220906492446
2016,5234,5234,4879,3806,6255,2604,2021,2604,0.332227609,7838,6.782575468093237
2017,3898,3898,3781,2835,5045,1087,742,1087,0.2180541624874624,4985,3.0015392508978964
2018,2444,2444,2594,2024,3326,1581,1581,977,0.39279503105590063,4025,6.137479541734861
2019,3036,3036,2826,2050,3817,1450,856,1450,0.32322781988408383,4486,6.916996047
2020,4122,4122,4738,1840,12328,1599,980,1599,0.27949659150498163,5721,14.944201843765162
2021,7505,7505,6616,5364,8161,1636,601,1636,0.17897385406410676,9141,11.84543638
2022,2289,2289,3044,2462,3986,1934,1286,1934,0.45796826900307835,4223,32.983835736129315
2023,7359,7359,11696,7017.6,26316,2205,1182,2205,0.2305520702634881,9564,58.93463785840467
