date,sock_esc
2024-06-28,0
2024-06-29,0
2024-06-30,0
2024-07-01,0
2024-07-02,0
2024-07-03,0
2024-07-04,0
2024-07-05,2
2024-07-06,0
2024-07-07,0
2024-07-08,0
2024-07-09,0
2024-07-10,0
2024-07-11,1
2024-07-12,481
2024-07-13,103
2024-07-14,63
2024-07-15,398
2024-07-16,396
2024-07-17,166
2024-07-18,1
2024-07-19,106
2024-07-20,42
2024-07-21,5
2024-07-22,1
2024-07-23,0
2024-07-24,40
2024-07-25,2
2024-07-26,23
2024-07-27,36
2024-07-28,0
2024-07-29,33
2024-07-30,11
2024-07-31,78
2024-08-01,335
2024-08-02,86
2024-08-03,52
2024-08-04,0
2024-08-05,20
2024-08-06,5
2024-08-07,56
2024-08-08,0
2024-08-09,0
2024-08-10,4
2024-08-11,4
2024-08-12,1008
2024-08-13,1361
2024-08-14,799
2024-08-15,99
2024-08-16,300
2024-08-17,132
2024-08-18,259
2024-08-19,105
2024-08-20,100
2024-08-21,43
2024-08-22,136
2024-08-23,312
2024-08-24,58
