yr,max_temp,mean_temp,days,mean_17,prop_17,esc,esc_17,prop_esc,max_17,prop_max_temp,esc_max,prop_max_esc
2010,19.58,15.737950233870968,62,7,0.11290322580645161,12282,699,0.05691255495847582,13,0.20967741935483872,2781,0.22642892037127504
2011,20.17,15.792679612068966,58,10,0.1724137931034483,11246,98,0.008714209496709941,18,0.3103448275862069,572,0.05086252889916415
2012,19.13,15.515275620967742,62,5,0.08064516129032258,7921,427,0.05390733493245802,17,0.27419354838709675,656,0.08281782603206665
2013,20.67,17.61952285483871,62,47,0.7580645161290323,6769,4901,0.7240360466834097,53,0.8548387096774194,5481,0.8097207859358841
2014,20.58,16.900873653225805,62,24,0.3870967741935484,3119,670,0.21481243988457838,40,0.6451612903225806,1697,0.5440846425136262
2015,21.2,16.830430153225805,62,28,0.45161290322580644,2428,993,0.40897858319604613,40,0.6451612903225806,1581,0.6511532125205931
2016,22.01,17.115450370967743,62,30,0.4838709677419355,5210,2485,0.47696737044145876,45,0.7258064516129032,3569,0.6850287907869482
2017,21.89,16.51989914516129,62,17,0.27419354838709675,3748,523,0.13954108858057632,24,0.3870967741935484,528,0.14087513340448238
2018,22.15,16.99246643548387,62,25,0.4032258064516129,2320,52,0.022413793103448276,41,0.6612903225806451,442,0.19051724137931034
2019,23.23,17.77425408064516,62,46,0.7419354838709677,2919,1469,0.5032545392257622,52,0.8387096774193549,1519,0.5203836930455635
2022,22.552,16.384298387096774,62,15,0.24193548387096775,2280,156,0.06842105263157895,23,0.3709677419354839,225,0.09868421052631579
2023,24.107,15.963159946236559,62,20,0.3225806451612903,7126,4123,0.5785854616895875,38,0.6129032258064516,5966,0.8372158293572832
2024,21.662,16.869960353535355,55,22,0.4,7262,3952,0.5442026989809969,32,0.5818181818181818,4644,0.6394932525475076
